tournament,home,home_goal,away_goal,away,home_corner,away_corner,home_attack,away_attack,home_shots,away_shots,time,date,ht_diff,at_diff,ht_result,at_result,total_corners
Copa do Brasil,Sao Paulo,1.0,1.0,Flamengo,2.0,4.0,75.0,104.0,8.0,13.0,20:00:00,2023-09-24,0.0,0.0,DRAW,DRAW,6.0
Copa do Brasil,Flamengo,0.0,1.0,Sao Paulo,3.0,4.0,121.0,81.0,6.0,5.0,20:00:00,2023-09-17,-1.0,1.0,LOST,WON,7.0
Copa do Brasil,Flamengo,1.0,0.0,Gremio,6.0,6.0,101.0,115.0,12.0,15.0,01:30:00,2023-08-17,1.0,-1.0,WON,LOST,12.0
Copa do Brasil,Sao Paulo,2.0,0.0,Corinthians,7.0,3.0,112.0,111.0,21.0,10.0,23:30:00,2023-08-16,2.0,-2.0,WON,LOST,10.0
Copa do Brasil,Gremio,0.0,2.0,Flamengo,6.0,3.0,88.0,131.0,12.0,12.0,01:30:00,2023-07-27,-2.0,2.0,LOST,WON,9.0
Copa do Brasil,Corinthians,2.0,1.0,Sao Paulo,4.0,3.0,62.0,138.0,5.0,16.0,01:30:00,2023-07-26,1.0,-1.0,WON,LOST,7.0
Copa do Brasil,Corinthians,3.0,2.0,America MG,8.0,8.0,91.0,111.0,23.0,16.0,20:30:00,2023-07-15,1.0,-1.0,WON,LOST,16.0
Copa do Brasil,Palmeiras,1.0,2.0,Sao Paulo,12.0,2.0,110.0,82.0,15.0,10.0,00:00:00,2023-07-14,-1.0,1.0,LOST,WON,14.0
Copa do Brasil,Athletico Paranaense,0.0,2.0,Flamengo,11.0,3.0,100.0,83.0,28.0,8.0,01:30:00,2023-07-13,-2.0,2.0,LOST,WON,14.0
Copa do Brasil,Gremio,1.0,1.0,EC Bahia,8.0,9.0,114.0,107.0,21.0,15.0,00:00:00,2023-07-13,0.0,0.0,DRAW,DRAW,17.0
Copa do Brasil,America MG,1.0,0.0,Corinthians,5.0,4.0,113.0,140.0,11.0,17.0,01:30:00,2023-07-06,1.0,-1.0,WON,LOST,9.0
Copa do Brasil,Flamengo,2.0,1.0,Athletico Paranaense,4.0,5.0,133.0,58.0,8.0,3.0,01:30:00,2023-07-06,1.0,-1.0,WON,LOST,9.0
Copa do Brasil,Sao Paulo,1.0,0.0,Palmeiras,8.0,7.0,121.0,77.0,20.0,7.0,23:30:00,2023-07-05,1.0,-1.0,WON,LOST,15.0
Copa do Brasil,EC Bahia,1.0,1.0,Gremio,3.0,5.0,91.0,143.0,12.0,12.0,01:00:00,2023-07-05,0.0,0.0,DRAW,DRAW,8.0
Copa do Brasil,Flamengo,2.0,0.0,Fluminense,5.0,10.0,57.0,101.0,10.0,7.0,00:00:00,2023-06-02,2.0,-2.0,WON,LOST,15.0
Copa do Brasil,Sao Paulo,1.0,3.0,Sport Recife,6.0,10.0,89.0,97.0,11.0,9.0,23:30:00,2023-06-01,-2.0,2.0,LOST,WON,16.0
Copa do Brasil,Internacional,3.0,1.0,America MG,2.0,6.0,117.0,125.0,12.0,13.0,01:30:00,2023-06-01,2.0,-2.0,WON,LOST,8.0
Copa do Brasil,Botafogo RJ,1.0,0.0,Athletico Paranaense,2.0,2.0,99.0,83.0,9.0,4.0,01:30:00,2023-06-01,1.0,-1.0,WON,LOST,4.0
Copa do Brasil,Corinthians,2.0,0.0,Atletico Mineiro,4.0,4.0,130.0,117.0,15.0,16.0,01:30:00,2023-06-01,2.0,-2.0,WON,LOST,8.0
Copa do Brasil,Cruzeiro,0.0,1.0,Gremio,14.0,4.0,147.0,51.0,23.0,6.0,00:00:00,2023-06-01,-1.0,1.0,LOST,WON,18.0
Copa do Brasil,Fortaleza FC,1.0,0.0,Palmeiras,8.0,3.0,134.0,81.0,19.0,6.0,23:00:00,2023-05-31,1.0,-1.0,WON,LOST,11.0
Copa do Brasil,EC Bahia,1.0,1.0,Santos,4.0,8.0,93.0,112.0,13.0,9.0,23:00:00,2023-05-31,0.0,0.0,DRAW,DRAW,12.0
Copa do Brasil,Athletico Paranaense,3.0,2.0,Botafogo RJ,8.0,3.0,135.0,86.0,22.0,6.0,01:30:00,2023-05-18,1.0,-1.0,WON,LOST,11.0
Copa do Brasil,America MG,2.0,0.0,Internacional,4.0,3.0,85.0,114.0,12.0,7.0,01:30:00,2023-05-18,2.0,-2.0,WON,LOST,7.0
Copa do Brasil,Atletico Mineiro,2.0,0.0,Corinthians,5.0,2.0,179.0,47.0,21.0,6.0,01:30:00,2023-05-18,2.0,-2.0,WON,LOST,7.0
Copa do Brasil,Sport Recife,0.0,2.0,Sao Paulo,6.0,9.0,61.0,105.0,9.0,22.0,00:00:00,2023-05-18,-2.0,2.0,LOST,WON,15.0
Copa do Brasil,Gremio,1.0,1.0,Cruzeiro,6.0,5.0,134.0,99.0,15.0,15.0,23:30:00,2023-05-17,0.0,0.0,DRAW,DRAW,11.0
Copa do Brasil,Santos,0.0,0.0,EC Bahia,5.0,4.0,158.0,82.0,7.0,7.0,23:00:00,2023-05-17,0.0,0.0,DRAW,DRAW,9.0
Copa do Brasil,Palmeiras,3.0,0.0,Fortaleza FC,5.0,4.0,109.0,112.0,17.0,12.0,23:00:00,2023-05-17,3.0,-3.0,WON,LOST,9.0
Copa do Brasil,Fluminense,0.0,0.0,Flamengo,6.0,8.0,44.0,68.0,7.0,21.0,01:00:00,2023-05-17,0.0,0.0,DRAW,DRAW,14.0
Copa do Brasil,Gremio,1.0,1.0,ABC,8.0,2.0,210.0,146.0,24.0,8.0,01:30:00,2023-04-28,0.0,0.0,DRAW,DRAW,10.0
Copa do Brasil,CSA,2.0,1.0,Internacional,4.0,6.0,111.0,108.0,9.0,15.0,00:00:00,2023-04-28,1.0,-1.0,WON,LOST,10.0
